rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
1,ADNT,Adient PLC,21.04,69,227.9,5,Narrow,,Consumer Cyclical,Auto Parts
2,CPRI,Capri Holdings Ltd,15.93,45.5,185.6,,None,,Consumer Cyclical,Luxury Goods
3,VFC,VF Corp,14.32,40,179.3,,None,,Consumer Cyclical,Apparel Manufacturing
4,CLVT,Clarivate PLC Ordinary Shares,1.98,5.5,177.8,,None,,Technology,Information Technology Services
5,BBWI,Bath & Body Works Inc,20.12,54,168.4,,None,,Consumer Cyclical,Specialty Retail
6,TME,Tencent Music Entertainment Group ADR,9.45,25,164.6,,Narrow,,Communication Services,Internet Content & Information
7,CPB,The Campbell's Co,21.98,56,154.8,,Wide,,Consumer Defensive,Packaged Foods
8,NTLA,Intellia Therapeutics Inc,10.68,27,152.8,,None,,Healthcare,Biotechnology
9,PSKY,Paramount Skydance Corp Ordinary Shares - Class B,7.96,20,151.3,,None,,Communication Services,Entertainment
10,WGO,Winnebago Industries Inc,30.28,73,141.1,,None,,Consumer Cyclical,Recreational Vehicles
11,KLAR,Klarna Group PLC,18.94,45,137.6,,Narrow,,Financial Services,Credit Services
12,LULU,Lululemon Athletica Inc,118.87,280,135.6,,Narrow,,Consumer Cyclical,Apparel Retail
13,FLUT,Flutter Entertainment PLC,104.47,245,134.5,,Narrow,,Consumer Cyclical,Gambling
14,HUYA,HUYA Inc Class A,2.45,5.6,128.6,,None,,Communication Services,Entertainment
15,NKE,Nike Inc Class B,41.71,94,125.4,,Wide,,Consumer Cyclical,Footwear & Accessories
16,CRSP,CRISPR Therapeutics AG,47.99,106,120.9,,None,,Healthcare,Biotechnology
17,TEAM,Atlassian Corp Class A,101.02,220,117.8,,Narrow,,Technology,Software - Application
18,KSS,Kohl's Corp,19.14,41,114.2,,None,,Consumer Cyclical,Department Stores
19,FISV,Fiserv Inc,53.94,115,113.2,,Narrow,,Technology,Information Technology Services
20,CE,Celanese Corp Class A,44.72,95,112.4,,Narrow,,Basic Materials,Chemicals
21,CNH,CNH Industrial NV,10.25,20.5,100.0,,Narrow,,Industrials,Farm & Heavy Construction Machinery
22,PRGO,Perrigo Co PLC,10.11,20,97.8,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
23,BABA,Alibaba Group Holding Ltd ADR,122.25,241,97.1,,Wide,,Consumer Cyclical,Internet Retail
24,CHTR,Charter Communications Inc Class A,144.98,280,93.1,,Narrow,,Communication Services,Telecom Services
25,UA,Under Armour Inc Class C,6.49,12.5,92.6,,None,,Consumer Cyclical,Apparel Manufacturing
26,DKNG,DraftKings Inc Ordinary Shares - Class A,23.48,45,91.7,,Narrow,,Consumer Cyclical,Gambling
27,FIS,Fidelity National Information Services Inc,44.77,85,89.9,,Narrow,,Technology,Information Technology Services
28,HUBS,HubSpot Inc,237.36,450,89.6,,Narrow,,Technology,Software - Application
29,BILI,Bilibili Inc ADR,19.1,36,88.5,,None,,Communication Services,Internet Content & Information
30,UAA,Under Armour Inc Class A,6.65,12.5,88.0,,None,,Consumer Cyclical,Apparel Manufacturing
31,AUR,Aurora Innovation Inc Class A,6.45,12,86.0,,None,,Consumer Cyclical,Auto Parts
32,CCOI,Cogent Communications Holdings Inc,13.5,25,85.2,,Narrow,,Communication Services,Telecom Services
33,CSGP,CoStar Group Inc,28.76,53,84.3,,Narrow,,Real Estate,Real Estate Services
34,THO,Thor Industries Inc,74.97,138,84.1,,None,,Consumer Cyclical,Recreational Vehicles
35,ZTS,Zoetis Inc Class A,77.29,140,81.1,,Wide,,Healthcare,Drug Manufacturers - Specialty & Generic
36,GNTX,Gentex Corp,23.36,42,79.8,,Narrow,,Consumer Cyclical,Auto Parts
37,STLA,Stellantis NV,5.76,10,73.6,,None,,Consumer Cyclical,Auto Manufacturers
38,NICE,NICE Ltd ADR,98.79,170,72.1,,None,,Technology,Software - Application
39,PAYP,PayPay Corp ADR - Sponsor,15.13,26,71.8,,Narrow,,Technology,Software - Infrastructure
40,GIL,Gildan Activewear Inc,55.38,95,71.5,,Narrow,,Consumer Cyclical,Apparel Manufacturing
41,ALB,Albemarle Corp,117.64,200,70.0,3,Narrow,,Basic Materials,Specialty Chemicals
42,FRPT,Freshpet Inc,59.54,100,68.0,,None,,Consumer Defensive,Packaged Foods
43,KMX,CarMax Inc,57.26,96,67.7,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
44,AVGO,Broadcom Inc,389.28,650,67.0,,Wide,,Technology,Semiconductors
45,GLOB,Globant SA,36.6,61,66.7,,None,,Technology,Information Technology Services
46,BR,Broadridge Financial Solutions Inc,153.95,255,65.6,,Wide,,Technology,Information Technology Services
47,ZS,Zscaler Inc,151.2,250,65.3,,Narrow,,Technology,Software - Infrastructure
48,SAP,SAP SE ADR,183.62,302,64.5,,Wide,,Technology,Software - Application
49,DOCU,Docusign Inc,54.83,90,64.1,,None,,Technology,Software - Application
50,RH,RH Class A,165.52,270,63.1,,None,,Consumer Cyclical,Specialty Retail
51,CLX,Clorox Co,95.53,155,62.3,,Wide,,Consumer Defensive,Household & Personal Products
52,IONS,Ionis Pharmaceuticals Inc,51.77,84,62.3,,Narrow,,Healthcare,Biotechnology
53,OLN,Olin Corp,18.51,30,62.1,,None,,Basic Materials,Chemicals
54,WLK,Westlake Corp,70.5,114,61.7,,None,,Basic Materials,Specialty Chemicals
55,TYL,Tyler Technologies Inc,309.6,500,61.5,,Wide,,Technology,Software - Application
56,RELX,RELX PLC ADR,35.42,57,60.9,,Wide,,Industrials,Specialty Business Services
57,GRAB,Grab Holdings Ltd Class A,3.5,5.6,60.0,,None,,Technology,Software - Application
